review_id,feature,opinion,sentiment,token,engagement
20,0,review,soylent,7.82e+17,0,@keanerie: the soylent review the world has been waiting for
25,0,bag,#SiliconValley,7.82e+17,0,@oneminuteapp: #SiliconValley hipster bag 101 - @soylent #Coffeeist
26,2,bag,#SiliconValley,7.82e+17,0,#SiliconValley hipster bag 101 - @soylent #Coffeeist
28,0,bottle,2.0,7.82e+17,1,@soylent appreciate you getting rid of the foil under the 2.0 bottle caps
29,0,taste,good,7.82e+17,1,"Ok, this product from @soylent actually tastes good."
35,0,bottle,2.0,7.82e+17,2,I wish the UX of opening a @Soylent 2.0 bottle were more enjoyable
35,0,bottle,@Soylent,7.82e+17,2,I wish the UX of opening a @Soylent 2.0 bottle were more enjoyable
63,0,meal,next,7.81e+17,0,(only did this bc i want my math professor to judge me)I'm making my next meal a Soylent!
75,1,people,@tedotte,7.81e+17,0,@tedotte @soylent people need to wake up!
77,0,powder,new,7.8e+17,0,So the new powder has Xanthin Gum.
92,1,purchase,gon,7.8e+17,0,@KristyT gonna buy you a big box of Soylent as your housewarming gift
93,1,thing,best,7.8e+17,1,@JPManga Soylent replaces something necessary (food) with next best thing.
93,1,thing,next,7.8e+17,1,@JPManga Soylent replaces something necessary (food) with next best thing.
109,0,thing,messed,7.84388e+17,2,the whole joylent / soylent thing is pretty messed up / hilarious
109,0,thing,hilarious,7.84388e+17,2,the whole joylent / soylent thing is pretty messed up / hilarious
111,1,kind,different,7.84274e+17,2,"Try joylent though, their vegan option has a different kind of"
119,0,etc,soylent/joylent,7.8405e+17,2,@neurosaurus i do soylent/joylent etc but honestly i get the powder and mix it myself?
120,0,breakfast,first,7.83981e+17,2,Eating my first #joylent breakfast.
120,0,taste,sweet,7.83981e+17,1,"It's not bad, but the best part is the sweet, sweet taste of ultimate laziness."
123,4,breakfast,replacer,7.83917e+17,2,trying out this joylent meal replacer for my breakfast.... it's real cute
124,0,thing,joylent,7.83818e+17,2,@werewoolfs @vilevelns what is this joylent thing
126,2,meals,normal,7.8381e+17,0,(1-2 normal meals because family)
159,2,protein,Ambronite,7.85e+17,-1,Ambronite Meal replacement protein shake.
159,2,taste,better,7.85e+17,0,Maybe better taste than soylent @robmay?
195,0,taste,delicious,7.84e+17,2,The new taste is simply delicious
196,0,trier,uC,7.84e+17,-1,"Madonna is shaking it, and you should try too uC"
199,2,taste,new,7.83e+17,2,The new taste is simply delicious #supermeal
199,2,taste,delicious,7.83e+17,2,The new taste is simply delicious #supermeal
213,1,taste,great,7.82e+17,2,Ambronite v5 tastes great.
275,1,foods,healthy,7.82e+17,1,Trying to win a competition from @QuealEU.Interested in what complete healthy foods can do for you?
275,1,foods,complete,7.82e+17,1,Trying to win a competition from @QuealEU.Interested in what complete healthy foods can do for you?
276,1,kind,usual,7.82e+17,1,@QuealEU not the usual 3 meal kind of guy here but I do have at least 1 Queal and am always looking forward to that one
277,1,breakfast,awesome,7.82e+17,2,Queal makes an awesome breakfast - Kala
279,1,foods,healthy,7.82e+17,1,Interested what complete healthy foods can do for you?
279,1,foods,complete,7.82e+17,1,Interested what complete healthy foods can do for you?
280,2,foods,healthy,7.82e+17,1,Interested in what complete healthy foods can do for you?Check out #queal
280,2,foods,complete,7.82e+17,1,Interested in what complete healthy foods can do for you?Check out #queal
281,1,foods,healthy,7.82e+17,1,Trying to win a competition from @QuealEU.Interested in what complete healthy foods can do for you?
281,1,foods,complete,7.82e+17,1,Trying to win a competition from @QuealEU.Interested in what complete healthy foods can do for you?
283,1,foods,healthy,7.82e+17,1,Trying to win a competition from @QuealEU Interested in what complete healthy foods can do for you?
283,1,foods,complete,7.82e+17,1,Trying to win a competition from @QuealEU Interested in what complete healthy foods can do for you?
285,1,foods,healthy,7.82e+17,1,Interested in what complete healthy foods can do for you?
285,1,foods,complete,7.82e+17,1,Interested in what complete healthy foods can do for you?
286,1,foods,healthy,7.82e+17,1,Interested in what complete healthy foods can do for you?Check out #queal
286,1,foods,complete,7.82e+17,1,Interested in what complete healthy foods can do for you?Check out #queal
288,1,foods,healthy,7.82e+17,1,Interested in what complete healthy foods can do for you?
288,1,foods,complete,7.82e+17,1,Interested in what complete healthy foods can do for you?
291,0,products,eensive,7.82e+17,0,@BeauxCrook hi keto products will most likely be more eensive - pricing not finalised yet
294,1,people,busy,7.82e+17,2,"btw, for you busy people who want food with good nutrients, I love Mealsquares."
294,1,nutrients,good,7.82e+17,2,"btw, for you busy people who want food with good nutrients, I love Mealsquares."
298,0,nutrients,super,7.85e+17,1,"meal replacement shake packed with 23 super nutrients, 13"
314,0,meal,Per,7.85e+17,0,Per meal!
341,0,protein,great,7.84e+17,1,Looking for a great protein shake mix/meal replacement?
341,0,protein,14g,7.84e+17,0,5g net carbs 14g protein.
343,1,value,excellent,7.84e+17,0,Meal Replacement Shake Low #Calories #Fat High #Protein #Fibre excellent value for money visit
373,0,taste,amazing,7.84e+17,2,Jam packed with nutrition and taste amazing!
382,0,meal,myDaily,7.84e+17,-1,@BhookaSaand: #FoodBlog #FoodReview Benefits of Meal Replacement Shake from myDaily meal -
497,0,supplements,popular,7.96e+17,2,The most popular meal replacement supplements on the market have got to be protein drinks #PFL90
497,0,drinks,#PFL,7.96e+17,2,The most popular meal replacement supplements on the market have got to be protein drinks #PFL90
503,0,bars,sad,7.97129e+17,-3,Meal replacement protein bars are a sad existence
503,0,bars,Meal,7.97129e+17,-3,Meal replacement protein bars are a sad existence
513,0,bar,salted,7.96276e+17,0,Our nutty salted caramel meal bar gets us through #HumpDay every time.
513,0,bar,caramel,7.96276e+17,0,Our nutty salted caramel meal bar gets us through #HumpDay every time.
513,0,bar,nutty,7.96276e+17,0,Our nutty salted caramel meal bar gets us through #HumpDay every time.
514,0,bars,healthy,7.96187e+17,2,"@_betterbynature: These bars are so healthy, so delicious."
514,0,bars,delicious,7.96187e+17,2,"@_betterbynature: These bars are so healthy, so delicious."
515,1,bars,healthy,7.96185e+17,2,"These bars are so healthy, so delicious."
515,1,bars,delicious,7.96185e+17,2,"These bars are so healthy, so delicious."
525,0,bars,quick,7.95839e+17,-1,Doctors weigh in on diet shakes and replacement bars: Meal replacement bars and shakes can be a quick solution on a
525,0,bars,quick,7.95839e+17,-1,Doctors weigh in on diet shakes and replacement bars: Meal replacement bars and shakes can be a quick solution on a
527,0,people,puke,7.95664e+17,-2,GMO meal replacement SOYLENT bars make people puke
528,0,bars,quick,7.95624e+17,0,"Meal replacement bars and shakes can be a quick solution on a busy morning, but are they good for you?"
528,0,bars,Meal,7.95624e+17,0,"Meal replacement bars and shakes can be a quick solution on a busy morning, but are they good for you?"
529,0,bars,quick,7.95611e+17,0,"Meal replacement bars and shakes can be a quick solution on a busy morning, but are they good for you?"
529,0,bars,Meal,7.95611e+17,0,"Meal replacement bars and shakes can be a quick solution on a busy morning, but are they good for you?"
531,3,people,puke,7.95521e+17,-2,GMO meal replacement SOYLENT bars make people puke
538,0,bars,delicious,7.94978e+17,2,"Sat, Nov 5 In-Store Product DEMO @WesterlyMarket 3-6pm ~ @NutribarCanada delicious meal replacement #protein bars"
538,0,bars,3-6pm,7.94978e+17,2,"Sat, Nov 5 In-Store Product DEMO @WesterlyMarket 3-6pm ~ @NutribarCanada delicious meal replacement #protein bars"
544,0,snack,healthy,7.94507e+17,0,NUTRITONAL BARS Healthy meal replacement fuel for fitness just a healthy snack turn it into a dessert with yo
547,1,loss,Weight,7.94244e+17,-2,Weight loss with meal replacement shakes and meal replacement bars -
549,0,case,various,7.9396e+17,0,I keep protein bars in various flavours in case of an emergency.
553,5,case,various,7.93959e+17,0,I keep protein bars in various flavours in case of an emergency.
555,0,protein,pure,7.9724e+17,0,I found out why I was lightheaded; I was drinking protein shakes with no complete nutritional value so it was pure protein and no food
555,0,value,nutritional,7.9724e+17,0,I found out why I was lightheaded; I was drinking protein shakes with no complete nutritional value so it was pure protein and no food
555,0,protein,pure,7.9724e+17,0,I found out why I was lightheaded; I was drinking protein shakes with no complete nutritional value so it was pure protein and no food
559,0,protein,5/day,7.97221e+17,-1,@TinaKayxxx: Sometimes I get more than 5/day protein shakes!
565,1,protein,@GoddessEm_,7.97205e+17,-1,@GoddessEm_ protein shakes
567,0,milk,almond,7.97203e+17,0,"my protein shakes contain like 3 scoops of protein powder, peanut butter, almond milk, yogurt and bananas."
570,0,protein,high,7.97199e+17,-1,"@foodyste1: Drink two high protein, low carb shakes a day with fiber and omega-3s added."
570,0,carb,low,7.97199e+17,-1,"@foodyste1: Drink two high protein, low carb shakes a day with fiber and omega-3s added."
574,0,protein,@jaypipes,7.97196e+17,-1,@jaypipes Pre surgery conversion to protein shakes yogurt string cheese and oatmeal.
574,0,anything,same,7.97196e+17,-1,Post surgery...same place anything in low portions...
581,1,protein,pre-made,7.97183e+17,-1,Newests Arbonne items I can't live without: chocolate pre-made protein shakes and CONCEALER!
585,3,thing,disgusting,7.97173e+17,-3,The most disgusting thing has to be clumpy protein shakes
587,2,protein,enough,7.97171e+17,-1,"just make sure you're getting enough protein, i tried nutrition shakes"
589,0,drink,soft,7.9717e+17,-1,"In 48 hours I've drank 8 cups of coffee, 3 cups of tea, 1 soft drink, 2 protein shakes and 4 litres of water"
600,0,supplement,developed,7.97164e+17,1,"#Pure Protein Shakes were developed as a great-tasting way to supplement your protein needs, and provide"
601,0,protein,enough,7.97164e+17,0,@StuGarnersBro didn't drink enough protein shakes mate
606,1,protein,more,7.97157e+17,-1,@_Nichita you should try eating more protein or drink those shakes that have 75 grams of protein.
606,1,protein,more,7.97157e+17,-1,@_Nichita you should try eating more protein or drink those shakes that have 75 grams of protein.
610,0,protein,healthy,7.97153e+17,1,Check these awesome healthy protein shakes.
610,0,protein,awesome,7.97153e+17,1,Check these awesome healthy protein shakes.
615,0,protein,non-dairy,7.97151e+17,1,Delighted to have @Go_Veggemo as a new non-dairy option for my protein shakes!
615,0,protein,new,7.97151e+17,1,Delighted to have @Go_Veggemo as a new non-dairy option for my protein shakes!
624,1,protein,hot,7.97135e+17,-1,@alex question -- why are drinking hot protein shakes?
625,8,protein,more,7.97135e+17,0,"Also, they should have more protein per serving so you can drink less hot garb."
629,1,protein,low,7.9713e+17,-1,@Jssiecabanroff when Josh was having issues because of low protein I'd make him protein shakes.
629,1,protein,low,7.9713e+17,-1,@Jssiecabanroff when Josh was having issues because of low protein I'd make him protein shakes.
633,0,training,lees,7.97125e+17,-1,"@RyanStanley456: 2 weeks into lees training, gym and protein shakes finally paying off"
634,4,weight,damn,7.97125e+17,0,Hopefully I gain some damn weight
636,0,protein,Need,7.97122e+17,-1,Need protein shakes for gains #KohlsBestGiftEverSweepstakes
645,0,protein,delicious,7.97114e+17,1,@fitfoodielondon: Shaking our money makers & our delicious @MissFitsNutri protein shakes post some @fitssi Friday
646,1,people,#IRL,7.97114e+17,-1,"#IRL #american mall people are #coffee drinkers, and or #tea, #soda, #water, #protein shakes etc."
646,1,people,#coffee,7.97114e+17,-1,"#IRL #american mall people are #coffee drinkers, and or #tea, #soda, #water, #protein shakes etc."
650,8,protein,Done,7.97111e+17,-1,Done spending money for protein shakes.
652,0,protein,extra,7.9711e+17,0,I've heard the Ensure extra protein shakes are good too.
654,2,protein,skinny,7.97108e+17,-1,"When skinny guys talk about drinking protein shakes and being a ""gymLAD"""
661,1,protein,fat,7.97098e+17,-1,"Protein shakes, high protein low fat."
664,1,protein,delicious,7.97093e+17,1,Shaking our money makers & our delicious @MissFitsNutri protein shakes post some @fitssi Friday
668,30,training,lees,7.9708e+17,-1,"2 weeks into lees training, gym and protein shakes finally paying off"
681,0,bags,Smoothie,7.97063e+17,-1,"Smoothie prep bags in the freezer make for quick, convenient and healthy protein shakes!"
681,0,protein,quick,7.97063e+17,-1,"Smoothie prep bags in the freezer make for quick, convenient and healthy protein shakes!"
681,0,protein,convenient,7.97063e+17,-1,"Smoothie prep bags in the freezer make for quick, convenient and healthy protein shakes!"
681,0,protein,healthy,7.97063e+17,-1,"Smoothie prep bags in the freezer make for quick, convenient and healthy protein shakes!"
692,0,protein,buy,7.97042e+17,0,Best brand to buy protein shakes ?
693,0,protein,many,7.97041e+17,-1,@racingblogger how many protein shakes should one consume daily?
694,0,water,SOOOO,7.9704e+17,0,Protein Shakes are SOOOO much better with water then almond milk!
697,0,protein,@CrucialFood,7.97033e+17,-1,Members and non members come in and try one of our @CrucialFood Cafe protein shakes too.... #healthychoices
698,1,supplements,@DamnnDaniyel,7.97032e+17,0,@DamnnDaniyel bro koi diet wagera lete ap like supplements or any protein shakes ?
706,0,protein,new,7.96991e+17,2,Loving the new #pret protein shakes.
709,0,work,hard,7.96984e+17,0,@ArthursBoys: Today we've lost sight of hard work in running.
710,0,problem,not hard,7.96984e+17,-1,@Evil_Ej1 @RoachyD i take my protein shakes lol i shouldn't have such a hard problem
719,0,protein,Late,7.96966e+17,-1,@superdave_972: Late night protein shakes n #overwatch #cgn #twitchonline #supprtsmallstreamers Come chat!
730,2,drinks,dietary,7.96943e+17,-1,"Nothing but protein shakes, dietary drinks, water, salads and grilled salmon and chicken from now on"
732,1,protein,crappy,7.96937e+17,-3,I hate how crappy protein shakes make me feel
736,1,protein,@jamescharles,7.96925e+17,-1,@jamescharles protein shakes through a straw
739,2,workouts,@aleciaollison,7.96919e+17,-1,@aleciaollison strength building workouts plus protein shakes
739,2,protein,@aleciaollison,7.96919e+17,-1,@aleciaollison strength building workouts plus protein shakes
749,1,food,middle,7.96908e+17,0,I don't even need protein shakes thanks to middle eastern food
749,1,food,eastern,7.96908e+17,0,I don't even need protein shakes thanks to middle eastern food
751,4,protein,Make,7.96907e+17,-1,Make protein shakes the night before & freeze them in mason jars.
751,4,snack,quick,7.96907e+17,0,"Take one with u 2 work for a quick, cold & tasty snack or meal."
751,4,snack,cold,7.96907e+17,0,"Take one with u 2 work for a quick, cold & tasty snack or meal."
765,0,bottle,whole,7.9567e+17,0,@BmoreOrganic: Mix 1/2 B'more Organic skyr into your own protein smoothie recipe or drink the whole bottle for a meal replacement!
768,2,bottle,whole,7.95611e+17,0,Mix 1/2 B'more Organic skyr into your own protein smoothie recipe or drink the whole bottle for a meal replacement!
773,1,meal,natural,7.95086e+17,-1,Wholefood Protein Shake Taster Box (6 x 40g) Ideal for weight loss & post exercise recovery 100% natural meal
789,0,supplements,few,7.97241e+17,0,You'll want to consider a few of these supplements.
797,0,dose,#MD,7.97239e+17,0,Chat with your #MD before you dose!
798,0,proteins,great,7.97239e+17,2,"Come to #TotalNutrition #CoralGables from 10:00 a.m. and find a great variety of proteins, supplements and vitamins for you"
800,0,supplements,mitigated,7.97238e+17,0,I picked up some mitigated feed supplements from the store.
803,1,supplements,testosterone,7.97238e+17,0,"At the pharmacy, and I think I'm gonna look for testosterone supplements or something."
805,0,supplements,favorite,7.97237e+17,2,One of my favorite supplements is #Maca This is wonderful C1
806,0,vitamins,#NatureMadeAtWalmart,7.97237e+17,0,Grab #NatureMadeAtWalmart vitamins and supplements!
810,0,supplements,beachbody,7.97235e+17,2,I love beachbody performance supplements!
811,0,energy,high,7.97235e+17,2,@muscle_fitness: Obtain superior sculpted tone and high energy with @StrongSupps Top 10 Fat Burners #sponsored h
816,0,supplements,#these,7.97235e+17,1,Look up #these #particular supplements for well being:
822,0,supplements,new,7.97234e+17,0,@LckptAthletic: Make sure to stop by and check out the new supplements that came in!
823,1,supplements,new,7.97234e+17,0,Make sure to stop by and check out the new supplements that came in!
824,0,supplements,#recommended,7.97234e+17,0,#Check out my #recommended supplements for health condition: U
827,1,anything,best,7.97233e+17,1,Never Settle for anything but the best - #1stPhorm makes the Best Supplements in the business -
828,0,trier,like,7.97233e+17,1,Would you like to try a healthy #diet?
831,0,workouts,hard,7.97233e+17,0,INVEST into hard workouts and dedication to healthy
832,1,supplements,free,7.97232e+17,0,@Cmatch34 Any time I can get free supplements and stuff I get pumped.
849,0,vitamins,#NatureMadeAtWalmart,7.97232e+17,0,Grab #NatureMadeAtWalmart vitamins and supplements!
856,0,supplements,overused,7.97231e+17,0,"@pash22: Vitamin D supplements are widely overused, doctors warn via @statnews"
866,9,supplements,free,7.97229e+17,-2,I have my alarm set for 7:30 am to go to the vitamin shop for free supplements and gifts.
874,0,supplements,quick,7.97228e+17,0,Shout out to @Bodybuildingcom for a quick delivery of my supplements and A FREE SAMPLE OF PROTEIN to go with it!
881,1,function,promote,7.97228e+17,1,ConceptionXR #supplements support male #fertility & promote normal #sperm function & motility #TTC
881,1,function,normal,7.97228e+17,1,ConceptionXR #supplements support male #fertility & promote normal #sperm function & motility #TTC
883,0,supplements,new,7.97228e+17,0,"For et kingpin, new troublehealth supplements #cafe #pharma #merck"
885,0,products,#these,7.97228e+17,2,#Investigate #these particular products and solutions for health and happiness:
885,0,products,particular,7.97228e+17,2,#Investigate #these particular products and solutions for health and happiness:
886,0,supplements,natural,7.97228e+17,0,@realDonaldTrump - I'm a 75 year old vet and am not on pharmaceuticals because of natural supplements.
887,0,supplements,Fundamental,7.97227e+17,2,@PsychologiesMag: #win a 30 day supply of Beautiful & Fundamental supplements from @EquiLondon RT & follow @psydirector to enter our #Fr
889,0,supplements,More,7.97227e+17,0,More health supplements on http;//eshop.dawiri.com
891,0,supplements,Fundamental,7.97227e+17,2,@PsychologiesMag: #win a 30 day supply of Beautiful & Fundamental supplements from @EquiLondon RT & follow @psydirector to enter!
892,0,supplements,other,7.97227e+17,0,@ChardaySimone Yeah I'm From Australia I can get you some sort of discount if you need a new preworkout or any other supplements.
893,1,supplements,illegal,7.97227e+17,0,Here's what I did: Kill a man with a dildo and take illegal russian supplements
898,0,supplements,only,7.97226e+17,0,The only supplements I use are Reese's and hot fri
900,0,vitamins,#organic,7.97226e+17,0,HouseplantsThe Ultimate Health Supplements #vitaminhealth #organic vitamins D...
901,0,vitamins,#organic,7.97226e+17,0,HouseplantsThe Ultimate Health Supplements #vitaminhealth #organic vitamins d
901,0,vitamins,#vitaminhealth,7.97226e+17,0,HouseplantsThe Ultimate Health Supplements #vitaminhealth #organic vitamins d
909,0,supplements,@Cornesy12,7.97225e+17,0,@Hurleystaxi: @LeighScott1977 @Cornesy12 Only required to.list supplements taken within 7 days.
909,0,supplements,Only,7.97225e+17,0,@Hurleystaxi: @LeighScott1977 @Cornesy12 Only required to.list supplements taken within 7 days.
909,0,supplements,@LeighScott1977,7.97225e+17,0,@Hurleystaxi: @LeighScott1977 @Cornesy12 Only required to.list supplements taken within 7 days.
909,0,supplements,required,7.97225e+17,0,@Hurleystaxi: @LeighScott1977 @Cornesy12 Only required to.list supplements taken within 7 days.
918,0,supplements,immune,7.97224e+17,1,Get your flu shot and take some immune support supplements.
921,0,supplements,Unparalleled,7.97223e+17,0,Unparalleled probiotic supplements: ZnUYze
921,0,supplements,probiotic,7.97223e+17,0,Unparalleled probiotic supplements: ZnUYze
934,0,vitamins,#NatureMadeAtWalmart,7.97222e+17,0,Grab #NatureMadeAtWalmart vitamins and supplements!
935,0,supplements,particular,7.97222e+17,1,Pay a #visit to #these particular supplements for health and well being:
938,0,supplements,crazy,7.97221e+17,1,"Just discovered that one of the ""crazy"" supplements that Chris Traeger takes when his character is being introduced is something I take lol"
943,0,vitamin,best,7.97221e+17,1,@RealAlexJones @infowars Thank you for everything from information to the best vitamin supplements I'VE EVER TAKEN.
943,0,supplement,'VE,7.97221e+17,1,@RealAlexJones @infowars Thank you for everything from information to the best vitamin supplements I'VE EVER TAKEN.
949,0,water,16oz,7.9722e+17,0,@thingrave: things I have to do: drink 16oz water every hour make some low cal soup take herbal dietary supplements drink green smoothi
949,0,supplements,herbal,7.9722e+17,0,@thingrave: things I have to do: drink 16oz water every hour make some low cal soup take herbal dietary supplements drink green smoothi
955,0,supplement,Ready-to-Use,7.97219e+17,0,4.5m supplement project targets malnutrition in Kenyan children Ready-to-Use Therapeutic Foods (RUTF) supplements
955,0,supplements,Ready-to-Use,7.97219e+17,0,4.5m supplement project targets malnutrition in Kenyan children Ready-to-Use Therapeutic Foods (RUTF) supplements
957,0,supplements,sealed,7.97219e+17,1,"@splitnines lol, I would sure as hell think so.... especially when sealed grow rooms with CO2 supplements create amazing plants"
957,0,supplements,grow,7.97219e+17,1,"@splitnines lol, I would sure as hell think so.... especially when sealed grow rooms with CO2 supplements create amazing plants"
960,0,supplements,herbal,7.97218e+17,-3,@TheVictoriaNYC certain herbal supplements may alleviate your pain and misery.
960,0,supplements,certain,7.97218e+17,-3,@TheVictoriaNYC certain herbal supplements may alleviate your pain and misery.
960,0,supplements,@TheVictoriaNYC,7.97218e+17,-3,@TheVictoriaNYC certain herbal supplements may alleviate your pain and misery.
962,0,workout,better,7.97218e+17,1,@cris25mar I feel like I get a better workout & pump without supplements.
973,0,supplements,#these,7.97217e+17,2,Try out #these #great supplements for keep fit: 0
975,0,vitamins,#NatureMadeAtWalmart,7.97216e+17,0,Grab #NatureMadeAtWalmart vitamins and supplements!
991,0,vitamins,#NatureMadeAtWalmart,7.97214e+17,0,Grab #NatureMadeAtWalmart vitamins and supplements!
999,2,water,16oz,7.97213e+17,1,things I have to do: drink 16oz water every hour make some low cal soup take herbal dietary supplements drink green smoothies NOT BINGE!!!
999,2,supplements,herbal,7.97213e+17,1,things I have to do: drink 16oz water every hour make some low cal soup take herbal dietary supplements drink green smoothies NOT BINGE!!!
1003,0,food,whole,7.97213e+17,-1,"A structured program that combines whole food eating with supplements, nutritious supplement shakes, and light exercises."
1003,0,supplements,nutritious,7.97213e+17,-1,"A structured program that combines whole food eating with supplements, nutritious supplement shakes, and light exercises."
1003,0,supplement,nutritious,7.97213e+17,-1,"A structured program that combines whole food eating with supplements, nutritious supplement shakes, and light exercises."
1004,1,supplements,natural,7.97213e+17,0,Most effective natural penis growth techniques natural supplements
1005,0,vitamins,#organic,7.97213e+17,0,Immune Health Supplements Market is segmented on the basis of product type as #vitaminhealth #organic vitamins...
1005,0,vitamins,#vitaminhealth,7.97213e+17,0,Immune Health Supplements Market is segmented on the basis of product type as #vitaminhealth #organic vitamins...
1006,0,vitamins,#organic,7.97213e+17,0,Immune Health Supplements Market is segmented on the basis of product type as #vitaminhealth #organic vitamins 9
1006,0,vitamins,#vitaminhealth,7.97213e+17,0,Immune Health Supplements Market is segmented on the basis of product type as #vitaminhealth #organic vitamins 9
1016,0,breakfast,good,7.97211e+17,2,Remember to eat good breakfast and take all your supplements sweetheart take good care of yourself and stay sage pk
1025,1,shopping,online,7.97211e+17,0,I have college supplements to write but I keep getting distracted with online shopping
1031,0,people,Most,7.9721e+17,0,Most people would benefit from one of these magnesium supplements
1040,0,supplements,not necessary,7.97209e+17,0,@OccultInfection: Institute of Medicine: #vitaminD supplements not necessary for those who are eed to adequate sunlight.
1041,0,vitamins,#NatureMadeAtWalmart,7.97208e+17,0,Grab #NatureMadeAtWalmart vitamins and supplements!
1053,5,supplements,#druginduced,7.97208e+17,0,"Up-to-date, accurate, easily accessed info on #druginduced #liver injury including supplements"
1054,0,health,#these,7.97208e+17,0,Look at all #these #supplements for physical health:
1054,0,health,physical,7.97208e+17,0,Look at all #these #supplements for physical health:
1057,0,foods,natural,7.97207e+17,0,"Shop HBees for premium brands vitamins, sports supplements, weight loss, natural foods, beauty & eco"
1060,0,supplements,NSF-certified,7.97207e+17,0,@NutriliteUS: More #Nutrilite supplements are now NSF-certified!
1061,0,vitamins,#NatureMadeAtWalmart,7.97207e+17,0,Grab #NatureMadeAtWalmart vitamins and supplements!
1065,0,vitamins,nutritional,7.97206e+17,0,Incorporating nutritional vitamins differently dietary supplements formal into la normal seniority rollback line:
1065,0,supplement,formal,7.97206e+17,0,Incorporating nutritional vitamins differently dietary supplements formal into la normal seniority rollback line:
1067,0,supplements,probiotic,7.97206e+17,0,Giveaway probiotic supplements: WOsGtK
1068,0,supplements,other,7.97206e+17,0,"Check with your doctor to see how much of each vitamin,minerals,and other supplements are right for you!"
1077,0,supplements,#recommended,7.97205e+17,0,Pay a #visit to my #recommended supplements for sport and activities:
1080,0,foods,natural,7.97205e+17,0,"Shop HBees for premium brands vitamins, sports supplements, weight loss, natural foods, beauty & eco"
1093,0,things,other,7.97204e+17,0,I use it to hold my morning supplements while I get other things
1096,1,food,real,7.97204e+17,-1,I'm such a slut for supplements but when it comes to eating real food like vegetables I'm just like....ew who tf do you think I am
1102,0,foods,natural,7.97203e+17,0,"Shop HBees for premium brands vitamins, sports supplements, weight loss, natural foods, beauty & eco"
